fighter1_wins,fighter2_wins,fighter1_losses,fighter2_losses,fighter1_height,fighter2_height,fighter1_weight,fighter2_weight,fighter1_reach,fighter2_reach,fighter1_age,fighter2_age,fighter1_SLpM,fighter2_SLpM,fighter1_sig_str_acc,fighter2_sig_str_acc,fighter1_SApM,fighter2_SApM,fighter1_str_def,fighter2_str_def,fighter1_td_avg,fighter2_td_avg,fighter1_td_acc,fighter2_td_acc,fighter1_td_def,fighter2_td_def,fighter1_sub_avg,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won,fighter1_name,fighter2_name,fighter1_stance,fighter2_stance
16.0,7.0,7.0,1.0,170.18,170.18,65.77,61.23,,170.18,43.0,34.0,1.88,2.67,0.55,0.51,2.4,1.2,0.53,0.57,4.47,0.0,0.55,0.0,0.83,0.37,0.3,0.0,0.0,4.539999999999999,,-0.17934782608695654,4.47,-0.79,0.3,0,Waylon Lowe,Nora Cornolle,Southpaw,Orthodox
19.0,10.0,4.0,10.0,170.18,170.18,70.31,56.7,,170.18,44.0,36.0,1.72,4.29,0.41,0.39,1.45,4.0,0.58,0.55,4.08,0.39,0.61,0.31,0.65,0.39,1.3,0.5,0.0,13.61,,0.32608695652173914,3.69,-2.5700000000000003,0.8,1,Richard Crunkilton,Cortney Casey,Orthodox,Orthodox
20.0,11.0,10.0,4.0,177.8,175.26,61.23,65.77,180.34,185.42,36.0,36.0,4.0,1.61,0.43,0.51,4.08,4.74,0.57,0.3,1.28,3.92,0.28,0.75,0.68,0.6,0.2,3.3,2.5400000000000205,-4.539999999999999,-5.079999999999984,-0.06666666666666665,-2.6399999999999997,2.3899999999999997,-3.0999999999999996,0,Cody Gibson,Herbert Burns,Orthodox,Orthodox
13.0,9.0,14.0,4.0,177.8,182.88,120.2,83.91,182.88,,50.0,38.0,2.81,3.27,0.43,0.29,2.9,4.4,0.51,0.7,0.51,0.0,0.55,0.0,0.64,0.0,0.2,0.0,-5.079999999999984,36.290000000000006,,-0.21082621082621084,0.51,-0.45999999999999996,0.2,1,Mark Hunt,Guilherme Vasconcelos,Orthodox,Orthodox
19.0,8.0,11.0,4.0,187.96,175.26,106.59,77.11,,,47.0,47.0,0.98,3.33,0.2,0.57,11.8,2.41,0.29,0.39,0.0,2.5,0.0,0.5,0.0,0.5,0.0,1.2,12.700000000000017,29.480000000000004,,-0.033333333333333326,-2.5,-2.35,-1.2,0,Josh Hendricks,Jared Rollins,Southpaw,Orthodox
12.0,14.0,7.0,1.0,190.5,187.96,92.99,92.99,193.04,193.04,34.0,33.0,6.05,5.35,0.5,0.48,4.64,3.46,0.55,0.51,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,2.539999999999992,0.0,0.0,-0.30175438596491233,0.0,0.7000000000000002,0.0,1,Chris Daukaus,Shamil Gamzatov,Orthodox,Orthodox
15.0,20.0,5.0,11.0,160.02,175.26,52.16,77.11,167.64,182.88,22.0,,3.33,2.46,0.39,0.51,3.23,2.76,0.67,0.41,2.33,3.28,0.66,0.53,0.66,0.3,0.4,1.6,-15.23999999999998,-24.950000000000003,-15.240000000000009,0.10483870967741937,-0.9499999999999997,0.8700000000000001,-1.2000000000000002,1,Iasmin Lucindo,Jess Liaudin,Orthodox,Orthodox
18.0,19.0,9.0,2.0,177.8,162.56,70.31,56.7,177.8,165.1,42.0,30.0,5.33,3.02,0.39,0.59,3.54,1.42,0.61,0.53,1.82,7.12,0.33,0.57,0.79,0.0,1.0,1.3,15.240000000000009,13.61,12.700000000000017,-0.23809523809523814,-5.3,2.31,-0.30000000000000004,1,Evan Dunham,Asu Almabayev,Southpaw,Orthodox
10.0,9.0,15.0,7.0,182.88,200.66,120.2,117.03,,203.2,,37.0,1.35,3.28,0.3,0.45,3.55,3.61,0.38,0.45,1.07,0.0,0.33,0.0,0.66,0.27,0.0,0.4,-17.78,3.1700000000000017,,-0.16249999999999998,1.07,-1.9299999999999997,-0.4,1,David Abbott,Maurice Greene,Switch,Orthodox
14.0,14.0,6.0,9.0,170.18,182.88,56.7,92.99,177.8,190.5,27.0,33.0,5.44,3.03,0.42,0.54,6.05,3.24,0.49,0.44,0.38,2.17,0.11,0.32,0.86,0.58,0.0,0.1,-12.699999999999989,-36.28999999999999,-12.699999999999989,0.09130434782608687,-1.79,2.4100000000000006,-0.1,1,Vinicius Salvador,Devin Clark,Southpaw,Orthodox
1.0,5.0,3.0,4.0,185.42,177.8,97.52,65.77,,,,35.0,0.0,2.47,0.0,0.37,0.0,2.73,0.0,0.69,0.0,2.0,0.0,0.22,0.0,0.5,0.0,0.0,7.619999999999976,31.75,,-0.3055555555555556,-2.0,-2.47,0.0,0,Marcus Bossett,Alex Torres,Orthodox,Orthodox
22.0,17.0,5.0,1.0,193.04,165.1,120.2,56.7,205.74,172.72,46.0,30.0,2.47,2.8,0.57,0.39,2.68,3.07,0.48,0.63,2.2,1.71,0.47,0.33,0.66,0.4,0.0,0.7,27.939999999999998,63.5,33.02000000000001,-0.12962962962962965,0.4900000000000002,-0.3299999999999996,-0.7,0,Soa Palelei,Amir Albazi,Orthodox,Orthodox
19.0,23.0,9.0,10.0,182.88,177.8,77.11,83.91,187.96,,39.0,51.0,2.5,4.75,0.48,0.53,4.18,4.66,0.49,0.57,0.85,0.35,0.35,0.5,0.56,0.37,1.4,1.1,5.079999999999984,-6.799999999999997,,-0.018398268398268414,0.5,-2.25,0.2999999999999998,0,Erick Silva,Frank Shamrock,Orthodox,Orthodox
17.0,15.0,5.0,8.0,170.18,172.72,61.23,65.77,170.18,170.18,31.0,38.0,5.14,2.46,0.53,0.33,4.36,3.55,0.58,0.59,1.73,1.45,0.51,0.43,0.85,0.7,0.1,0.9,-2.539999999999992,-4.539999999999999,0.0,0.12055335968379444,0.28,2.6799999999999997,-0.8,1,Petr Yan,Sam Sicilia,Switch,Orthodox
18.0,17.0,6.0,6.0,170.18,182.88,65.77,83.91,177.8,190.5,34.0,33.0,4.38,2.13,0.36,0.24,3.1,4.47,0.68,0.6,0.49,0.0,0.3,0.0,0.95,1.0,0.4,0.0,-12.699999999999989,-18.14,-12.699999999999989,0.010869565217391353,0.49,2.25,0.4,1,Julio Arce,Robert Bryczek,Southpaw,Orthodox
10.0,18.0,3.0,9.0,177.8,175.26,65.77,77.11,177.8,180.34,28.0,32.0,3.73,3.55,0.39,0.41,5.3,3.23,0.45,0.58,0.5,0.96,0.16,0.3,0.6,0.59,0.0,0.1,2.5400000000000205,-11.340000000000003,-2.539999999999992,0.10256410256410264,-0.45999999999999996,0.18000000000000016,-0.1,0,Bruno Souza,Kelvin Gastelum,Orthodox,Southpaw
8.0,7.0,2.0,4.0,165.1,167.64,56.7,61.23,175.26,177.8,27.0,31.0,3.98,0.79,0.48,0.21,3.13,1.92,0.54,0.74,1.18,0.0,0.21,0.0,0.63,0.5,0.3,0.0,-2.539999999999992,-4.529999999999994,-2.5400000000000205,0.1636363636363637,1.18,3.19,0.3,1,Melissa Gatto,Jamey Simmons,Orthodox,Orthodox
13.0,1.0,5.0,1.0,172.72,172.72,70.31,70.31,177.8,,32.0,57.0,8.65,0.0,0.5,0.0,7.45,0.0,0.54,0.0,0.86,0.0,0.5,0.0,0.8,0.0,0.0,0.0,0.0,0.0,,0.2222222222222222,0.86,8.65,0.0,1,Victor Martinez,Andre Pederneiras,Orthodox,Orthodox
8.0,15.0,1.0,2.0,180.34,172.72,70.31,65.77,,172.72,40.0,35.0,2.4,2.87,0.27,0.54,4.8,2.07,0.46,0.61,0.0,3.67,0.0,0.42,1.0,0.85,0.0,0.0,7.6200000000000045,4.540000000000006,,0.006535947712418277,-3.67,-0.4700000000000002,0.0,0,Sako Chivitchian,Levan Makashvili,Orthodox,Orthodox
11.0,10.0,3.0,2.0,185.42,190.5,92.99,118.84,185.42,198.12,45.0,35.0,2.67,2.16,0.5,0.26,2.22,3.43,0.46,0.42,1.51,0.0,0.66,0.0,0.41,1.0,0.0,0.0,-5.0800000000000125,-25.85000000000001,-12.700000000000017,-0.04761904761904767,1.51,0.5099999999999998,0.0,0,Chad Griggs,Raphael Pessoa,Orthodox,Orthodox
18.0,15.0,21.0,5.0,177.8,165.1,83.91,70.31,,,46.0,47.0,1.49,0.43,0.33,0.25,2.03,2.61,0.65,0.57,4.06,0.0,0.5,0.0,0.0,0.5,0.0,4.0,12.700000000000017,13.599999999999994,,-0.28846153846153844,4.06,1.06,-4.0,1,Sean Salmon,Alberto Crane,Southpaw,Orthodox
17.0,16.0,6.0,6.0,180.34,172.72,70.31,56.7,182.88,182.88,34.0,28.0,3.38,4.64,0.47,0.54,3.59,2.73,0.58,0.61,1.64,0.29,0.23,1.0,1.0,0.66,0.6,0.6,7.6200000000000045,13.61,0.0,0.011857707509881354,1.3499999999999999,-1.2599999999999998,0.0,0,Trey Ogden,Sumudaerji,Orthodox,Southpaw
11.0,11.0,4.0,5.0,167.64,177.8,61.23,77.11,175.26,,36.0,35.0,0.8,2.47,0.48,0.59,2.53,2.57,0.45,0.5,0.0,3.5,0.0,0.41,0.0,0.81,0.0,0.0,-10.160000000000025,-15.880000000000003,,0.04583333333333328,-3.5,-1.6700000000000002,0.0,0,Carlos Vera,Jorge Lopez,Orthodox,Orthodox
1.0,12.0,3.0,6.0,187.96,182.88,108.86,70.31,,,,38.0,0.0,0.25,0.0,0.19,0.0,1.67,0.0,0.47,0.0,0.76,0.0,1.0,0.0,0.6,0.0,2.3,5.0800000000000125,38.55,,-0.41666666666666663,-0.76,-0.25,-2.3,0,Harold Howard,Mark Holst,Orthodox,Orthodox
17.0,11.0,14.0,4.0,185.42,180.34,83.91,90.26,190.5,,42.0,50.0,4.92,0.0,0.36,0.0,5.27,0.0,0.54,0.0,0.48,0.0,0.18,0.0,0.75,0.0,0.0,0.0,5.079999999999984,-6.3500000000000085,,-0.18494623655913978,0.48,4.92,0.0,1,Joey Beltran,Jerry Bohlander,Orthodox,Orthodox
17.0,9.0,8.0,5.0,160.02,172.72,56.7,61.23,162.56,175.26,42.0,33.0,3.35,3.6,0.43,0.45,2.23,3.0,0.61,0.64,1.11,2.7,0.39,0.47,0.57,0.42,0.8,0.6,-12.699999999999989,-4.529999999999994,-12.699999999999989,0.037142857142857144,-1.59,-0.25,0.20000000000000007,1,Chris Cariaso,Jose Quinonez,Southpaw,Southpaw
8.0,17.0,3.0,3.0,182.88,193.04,61.23,113.4,185.42,210.82,34.0,37.0,1.31,2.33,0.47,0.41,2.96,2.16,0.4,0.41,1.2,0.76,0.42,0.62,0.54,0.71,0.8,0.3,-10.159999999999997,-52.17000000000001,-25.400000000000006,-0.12272727272727268,0.43999999999999995,-1.02,0.5,1,Domingo Pilarte,Francis Ngannou,Southpaw,Orthodox
22.0,9.0,9.0,5.0,180.34,193.04,77.11,92.99,190.5,,32.0,52.0,5.17,4.44,0.52,0.52,5.15,1.11,0.52,0.64,1.04,11.11,0.6,0.8,0.62,0.0,0.7,2.8,-12.699999999999989,-15.879999999999995,,0.06682027649769584,-10.07,0.7299999999999995,-2.0999999999999996,1,Vicente Luque,Mike Nickels,Orthodox,Orthodox
7.0,0.0,6.0,1.0,185.42,180.34,102.06,92.99,,,58.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.079999999999984,9.070000000000007,,0.5384615384615384,0.0,0.0,0.0,1,Tim Lajcik,Reza Nasri,Orthodox,Orthodox
15.0,13.0,4.0,10.0,167.64,190.5,65.77,104.33,,198.12,42.0,35.0,1.75,5.8,0.39,0.44,1.78,5.08,0.48,0.5,2.02,0.71,0.22,0.33,0.56,0.67,0.5,0.6,-22.860000000000014,-38.56,,0.22425629290617854,1.31,-4.05,-0.09999999999999998,0,Fernando Bruno,Jake Collier,Unknown,Orthodox
19.0,15.0,1.0,5.0,190.5,187.96,92.99,83.91,190.5,193.04,31.0,37.0,3.64,3.07,0.53,0.38,2.25,3.55,0.59,0.48,1.02,1.81,0.31,0.4,0.86,1.0,0.0,0.0,2.539999999999992,9.079999999999998,-2.539999999999992,0.19999999999999996,-0.79,0.5700000000000003,0.0,0,Magomed Ankalaev,Tim Williams,Orthodox,Orthodox
19.0,2.0,4.0,1.0,172.72,182.88,70.31,77.11,180.34,,28.0,32.0,4.91,1.32,0.57,0.26,2.66,1.63,0.76,0.44,1.11,0.0,0.28,0.0,0.81,0.33,0.0,0.0,-10.159999999999997,-6.799999999999997,,0.1594202898550725,1.11,3.59,0.0,1,Ismael Bonfim,Anying Wang,Orthodox,Orthodox
18.0,19.0,6.0,4.0,182.88,177.8,83.91,77.11,,187.96,48.0,27.0,1.55,3.17,0.44,0.52,2.36,1.3,0.47,0.68,0.0,1.25,0.0,0.71,0.42,0.7,0.0,0.2,5.079999999999984,6.799999999999997,,-0.07608695652173914,-1.25,-1.6199999999999999,-0.2,0,Crafton Wallace,Ismail Naurdiev,Orthodox,Orthodox
8.0,12.0,2.0,7.0,193.04,182.88,83.91,83.91,200.66,182.88,42.0,45.0,1.78,5.13,0.35,0.51,1.79,4.56,0.61,0.52,1.87,1.42,0.53,1.0,0.6,0.56,1.9,0.7,10.159999999999997,0.0,17.78,0.16842105263157903,0.4500000000000002,-3.3499999999999996,1.2,0,Roger Gracie,Drew McFedries,Orthodox,Southpaw
18.0,20.0,9.0,17.0,180.34,180.34,77.11,92.99,187.96,,43.0,54.0,1.71,0.93,0.39,0.7,1.99,4.67,0.63,0.28,1.42,0.0,0.31,0.0,0.63,0.4,1.2,2.0,0.0,-15.879999999999995,,0.12612612612612606,1.42,0.7799999999999999,-0.8,0,Paulo Thiago,Chris Haseman,Orthodox,Orthodox
13.0,8.0,7.0,7.0,177.8,180.34,70.31,70.31,,180.34,47.0,39.0,1.34,6.0,0.36,0.37,2.68,5.52,0.5,0.59,0.0,0.0,0.0,0.0,0.5,0.46,1.6,0.0,-2.539999999999992,0.0,,0.1166666666666667,0.0,-4.66,1.6,1,Justin James,Marco Polo Reyes,Orthodox,Orthodox
26.0,12.0,33.0,3.0,182.88,172.72,92.99,77.11,,,52.0,,2.11,0.5,0.38,0.55,2.2,0.2,0.54,0.33,0.88,3.0,0.28,1.0,0.44,0.0,0.0,0.0,10.159999999999997,15.879999999999995,,-0.35932203389830514,-2.12,1.6099999999999999,0.0,1,Vernon White,Ben Earwood,Southpaw,Orthodox
11.0,17.0,4.0,7.0,175.26,182.88,65.77,77.11,185.42,190.5,36.0,37.0,1.61,2.14,0.51,0.4,4.74,2.9,0.3,0.58,3.92,1.53,0.75,0.32,0.6,0.77,3.3,0.5,-7.6200000000000045,-11.340000000000003,-5.0800000000000125,0.02499999999999991,2.3899999999999997,-0.53,2.8,0,Herbert Burns,Peter Sobotta,Orthodox,Southpaw
4.0,27.0,5.0,8.0,165.1,182.88,56.7,92.99,160.02,187.96,32.0,53.0,2.5,1.9,0.31,0.44,2.98,1.62,0.54,0.59,1.9,3.25,0.66,0.46,0.7,0.7,0.5,0.1,-17.78,-36.28999999999999,-27.939999999999998,-0.32698412698412704,-1.35,0.6000000000000001,0.4,0,Emily Whitmire,Vladimir Matyushenko,Orthodox,Orthodox
15.0,18.0,8.0,21.0,187.96,177.8,104.33,83.91,187.96,,41.0,46.0,3.45,1.49,0.43,0.33,3.3,2.03,0.43,0.65,1.13,4.06,0.26,0.5,0.42,0.0,0.0,0.0,10.159999999999997,20.42,,0.1906354515050167,-2.9299999999999997,1.9600000000000002,0.0,1,Eddie Sanchez,Sean Salmon,Orthodox,Southpaw
6.0,10.0,4.0,4.0,185.42,152.4,77.11,52.16,182.88,154.94,35.0,31.0,6.69,0.79,0.53,0.27,5.44,4.96,0.52,0.37,0.72,2.05,1.0,0.83,0.7,0.33,0.0,0.8,33.01999999999998,24.950000000000003,27.939999999999998,-0.11428571428571432,-1.3299999999999998,5.9,-0.8,1,Sasha Palatnikov,Montserrat Conejo Ruiz,Switch,Southpaw
7.0,17.0,3.0,5.0,172.72,182.88,70.31,95.25,,,40.0,56.0,2.15,0.0,0.31,0.0,2.8,0.0,0.56,0.0,0.81,0.0,0.5,0.0,0.5,0.0,0.0,0.0,-10.159999999999997,-24.939999999999998,,-0.07272727272727275,0.81,2.15,0.0,1,Joe Brammer,Oleg Taktarov,Orthodox,Orthodox
12.0,34.0,2.0,11.0,177.8,187.96,70.31,83.91,175.26,195.58,21.0,48.0,4.58,3.05,0.41,0.61,5.66,2.05,0.52,0.6,0.0,0.5,0.0,0.77,0.25,0.69,0.4,0.8,-10.159999999999997,-13.599999999999994,-20.32000000000002,0.10158730158730156,-0.5,1.5300000000000002,-0.4,1,Francisco Prado,Anderson Silva,Orthodox,Southpaw
18.0,2.0,4.0,5.0,180.34,185.42,77.11,70.31,185.42,177.8,32.0,39.0,3.76,2.28,0.42,0.32,3.34,6.25,0.58,0.44,0.2,1.01,0.2,0.25,0.75,0.33,0.0,0.0,-5.079999999999984,6.799999999999997,7.619999999999976,0.5324675324675325,-0.81,1.48,0.0,1,Albert Tumenov,Edward Faaloloto,Orthodox,Orthodox
12.0,9.0,4.0,1.0,185.42,185.42,65.77,111.13,185.42,190.5,40.0,37.0,3.37,2.33,0.44,0.56,2.7,3.25,0.5,0.59,0.94,1.73,0.25,0.75,0.15,1.0,1.3,0.0,0.0,-45.36,-5.0800000000000125,-0.15000000000000002,-0.79,1.04,1.3,0,Pablo Garza,Arjan Bhullar,Orthodox,Orthodox
8.0,12.0,5.0,2.0,167.64,177.8,56.7,70.31,170.18,175.26,36.0,21.0,2.99,4.58,0.38,0.41,4.14,5.66,0.51,0.52,3.2,0.0,0.83,0.0,0.55,0.25,1.9,0.4,-10.160000000000025,-13.61,-5.079999999999984,-0.24175824175824168,3.2,-1.5899999999999999,1.5,1,Jon Delos Reyes,Francisco Prado,Orthodox,Orthodox
4.0,25.0,8.0,7.0,187.96,182.88,92.99,92.99,187.96,190.5,39.0,39.0,3.22,2.96,0.54,0.35,3.54,2.91,0.54,0.55,0.0,0.62,0.0,0.28,0.87,0.66,1.0,0.6,5.0800000000000125,0.0,-2.539999999999992,-0.4479166666666667,-0.62,0.26000000000000023,0.4,0,Josh Stansbury,Zak Cummings,Orthodox,Southpaw
22.0,2.0,9.0,5.0,180.34,185.42,77.11,70.31,190.5,177.8,32.0,39.0,5.17,2.28,0.52,0.32,5.15,6.25,0.52,0.44,1.04,1.01,0.6,0.25,0.62,0.33,0.7,0.0,-5.079999999999984,6.799999999999997,12.699999999999989,0.42396313364055305,0.030000000000000027,2.89,0.7,1,Vicente Luque,Edward Faaloloto,Orthodox,Orthodox
11.0,10.0,5.0,5.0,177.8,180.34,70.31,70.31,185.42,,30.0,41.0,6.28,2.48,0.45,0.41,6.95,2.53,0.47,0.64,0.83,0.0,0.5,0.0,0.53,0.64,0.3,0.0,-2.539999999999992,0.0,,0.02083333333333337,0.83,3.8000000000000003,0.3,1,Gabe Green,Alex Ricci,Switch,Orthodox
12.0,6.0,6.0,3.0,170.18,175.26,56.7,61.23,165.1,,35.0,33.0,3.76,1.33,0.44,0.27,7.03,3.33,0.43,0.6,0.15,1.5,0.33,0.5,0.65,0.5,0.0,0.0,-5.079999999999984,-4.529999999999994,,0.0,-1.35,2.4299999999999997,0.0,1,Priscila Cachoeira,Alexis Dufresne,Orthodox,Orthodox
19.0,25.0,7.0,14.0,185.42,167.64,92.99,61.23,190.5,172.72,44.0,45.0,2.77,3.02,0.52,0.31,3.07,4.63,0.59,0.55,2.22,2.47,0.24,0.44,0.83,0.58,0.0,0.4,17.78,31.759999999999998,17.78,0.08974358974358965,-0.25,-0.25,-0.4,1,Francimar Barroso,Brad Pickett,Orthodox,Orthodox
42.0,16.0,10.0,13.0,180.34,160.02,77.11,52.16,180.34,162.56,46.0,39.0,1.39,5.44,0.46,0.5,1.5,4.94,0.55,0.61,2.67,0.73,0.34,0.34,0.43,0.75,2.0,0.1,20.319999999999993,24.950000000000003,17.78,0.25596816976127323,1.94,-4.050000000000001,1.9,0,Brock Larson,Angela Hill,Southpaw,Orthodox
23.0,17.0,9.0,15.0,177.8,177.8,76.2,83.91,177.8,,47.0,50.0,1.98,2.08,0.4,0.4,3.01,2.58,0.54,0.53,1.91,1.49,0.3,1.0,0.25,0.0,0.6,0.0,0.0,-7.709999999999994,,0.1875,0.41999999999999993,-0.10000000000000009,0.6,0,Kuniyoshi Hironaka,Gideon Ray,Orthodox,Southpaw
19.0,35.0,2.0,19.0,154.94,182.88,61.23,83.91,,187.96,37.0,44.0,1.57,2.71,0.33,0.49,3.9,2.32,0.6,0.55,3.0,1.87,0.18,0.51,0.75,0.7,0.5,0.8,-27.939999999999998,-22.68,,0.2566137566137566,1.13,-1.14,-0.30000000000000004,1,Rin Nakai,Nate Marquardt,Orthodox,Orthodox
20.0,11.0,11.0,5.0,177.8,160.02,70.31,52.16,180.34,165.1,34.0,39.0,2.98,4.26,0.42,0.32,2.95,4.04,0.51,0.61,2.93,0.0,0.37,0.0,0.52,0.3,0.4,0.0,17.78,18.150000000000006,15.240000000000009,-0.04233870967741937,2.93,-1.2799999999999998,0.4,1,Christos Giagos,Silvana Gomez Juarez,Orthodox,Orthodox
11.0,2.0,4.0,6.0,175.26,193.04,65.77,124.74,185.42,,36.0,,1.61,0.0,0.51,0.0,4.74,0.0,0.3,0.0,3.92,0.0,0.75,0.0,0.6,0.0,3.3,0.0,-17.78,-58.97,,0.4833333333333333,3.92,1.61,3.3,1,Herbert Burns,Kevin Rosier,Orthodox,Orthodox
12.0,4.0,5.0,3.0,167.64,154.94,61.23,52.16,175.26,165.1,34.0,35.0,3.16,4.51,0.47,0.51,2.3,4.0,0.5,0.65,1.94,1.0,0.55,0.21,0.23,0.5,0.8,0.0,12.699999999999989,9.07,10.159999999999997,0.13445378151260512,0.94,-1.3499999999999996,0.8,1,Julianna Pena,Jamie Moyle,Orthodox,Orthodox
11.0,20.0,4.0,3.0,190.5,190.5,83.91,92.99,193.04,200.66,31.0,32.0,3.22,2.54,0.52,0.64,2.94,0.74,0.42,0.4,2.12,6.88,0.25,0.59,0.82,0.75,1.9,2.2,0.0,-9.079999999999998,-7.6200000000000045,-0.13623188405797104,-4.76,0.6800000000000002,-0.30000000000000027,0,Kyle Daukaus,Jailton Almeida,Southpaw,Orthodox
12.0,13.0,0.0,10.0,187.96,180.34,83.91,104.33,185.42,,29.0,,7.53,0.0,0.73,0.0,4.33,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,7.6200000000000045,-20.42,,0.4347826086956522,0.0,7.53,0.0,1,Shara Magomedov,Cal Worsham,Orthodox,Orthodox
13.0,14.0,7.0,4.0,185.42,172.72,83.91,70.31,190.5,180.34,48.0,35.0,1.26,2.59,0.35,0.58,1.89,2.68,0.61,0.41,1.58,3.31,0.15,0.5,0.5,0.23,1.1,0.4,12.699999999999989,13.599999999999994,10.159999999999997,-0.12777777777777777,-1.73,-1.3299999999999998,0.7000000000000001,0,Dean Lister,Magomed Mustafaev,Orthodox,Orthodox
15.0,17.0,5.0,11.0,190.5,187.96,83.91,83.91,190.5,193.04,32.0,48.0,6.08,3.25,0.55,0.36,5.3,2.98,0.51,0.59,2.46,1.18,0.45,0.45,1.0,0.62,0.5,0.7,2.539999999999992,0.0,-2.539999999999992,0.1428571428571429,1.28,2.83,-0.19999999999999996,0,Gregory Rodrigues,Keith Jardine,Orthodox,Orthodox
16.0,11.0,6.0,10.0,182.88,185.42,92.99,104.33,185.42,,43.0,,0.84,0.0,0.34,0.0,2.04,0.0,0.54,0.0,3.21,0.0,0.36,0.0,0.36,0.0,0.9,0.0,-2.539999999999992,-11.340000000000003,,0.20346320346320346,3.21,0.84,0.9,1,Carmelo Marrero,Nate Schroeder,Orthodox,Unknown
21.0,28.0,11.0,17.0,180.34,185.42,70.31,92.99,185.42,182.88,42.0,60.0,2.52,1.47,0.33,0.46,4.57,4.3,0.51,0.39,0.0,0.94,0.0,0.6,0.74,0.44,0.0,2.5,-5.079999999999984,-22.679999999999993,2.539999999999992,0.03402777777777777,-0.94,1.05,-2.5,1,Andre Winner,Ken Shamrock,Orthodox,Orthodox
10.0,14.0,1.0,8.0,193.04,170.18,92.99,56.7,195.58,180.34,33.0,33.0,7.29,2.5,0.59,0.45,3.59,2.0,0.52,0.43,0.95,1.72,0.75,0.35,0.75,0.26,0.3,1.0,22.859999999999985,36.28999999999999,15.240000000000009,0.2727272727272727,-0.77,4.79,-0.7,1,Carlos Ulberg,Malcolm Gordon,Orthodox,Switch
21.0,9.0,6.0,0.0,182.88,177.8,77.11,70.31,187.96,182.88,38.0,23.0,5.34,2.5,0.48,0.51,4.01,0.46,0.63,0.59,0.27,3.06,1.0,0.44,0.75,0.0,0.0,0.0,5.079999999999984,6.799999999999997,5.0800000000000125,-0.2222222222222222,-2.79,2.84,0.0,0,Lyman Good,Nurullo Aliev,Orthodox,Orthodox
12.0,5.0,7.0,0.0,180.34,185.42,70.31,83.91,,193.04,37.0,28.0,3.44,2.76,0.52,0.62,4.01,0.55,0.46,0.75,0.65,11.04,0.33,0.5,0.5,0.0,0.0,13.8,-5.079999999999984,-13.599999999999994,,-0.368421052631579,-10.389999999999999,0.6800000000000002,-13.8,0,Jake Lindsey,Bo Nickal,Switch,Southpaw
18.0,9.0,5.0,1.0,180.34,177.8,70.31,70.31,182.88,175.26,34.0,27.0,4.41,4.39,0.47,0.45,3.8,3.29,0.6,0.63,1.8,0.0,0.47,0.0,0.72,0.9,0.6,0.0,2.539999999999992,0.0,7.6200000000000045,-0.11739130434782608,1.8,0.020000000000000462,0.6,1,Renato Moicano,MarQuel Mederos,Orthodox,Orthodox
12.0,11.0,6.0,9.0,170.18,170.18,56.7,56.7,165.1,167.64,35.0,30.0,3.76,2.49,0.44,0.39,7.03,4.54,0.43,0.46,0.15,0.93,0.33,0.27,0.65,0.54,0.0,1.7,0.0,0.0,-2.539999999999992,0.11666666666666659,-0.78,1.2699999999999996,-1.7,1,Priscila Cachoeira,Julija Stoliarenko,Orthodox,Orthodox
6.0,23.0,3.0,7.0,200.66,175.26,111.13,70.31,208.28,180.34,33.0,32.0,2.6,1.41,0.35,0.34,5.3,2.02,0.46,0.47,0.74,2.46,0.66,0.46,0.0,0.37,0.0,1.3,25.400000000000006,40.81999999999999,27.939999999999998,-0.10000000000000009,-1.72,1.1900000000000002,-1.3,0,Daniel Spitz,Marcin Held,Orthodox,Orthodox
5.0,27.0,3.0,15.0,172.72,175.26,77.11,77.11,,,45.0,45.0,3.54,6.21,0.48,0.4,7.52,3.79,0.45,0.59,0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.0,-2.539999999999992,0.0,,-0.017857142857142905,0.0,-2.67,2.2,1,Anthony Torres,Derrick Noble,Orthodox,Southpaw
19.0,10.0,9.0,6.0,175.26,182.88,77.11,92.99,180.34,,39.0,48.0,3.8,2.27,0.41,0.41,2.17,4.6,0.62,0.56,2.53,2.3,0.48,0.55,0.63,0.66,0.9,0.5,-7.6200000000000045,-15.879999999999995,,0.0535714285714286,0.22999999999999998,1.5299999999999998,0.4,1,Rick Story,Hector Ramirez,Southpaw,Orthodox
16.0,4.0,3.0,1.0,165.1,190.5,56.7,117.93,167.64,,30.0,39.0,4.67,0.0,0.43,0.0,3.95,4.03,0.58,0.4,0.41,6.72,0.45,0.5,0.59,0.0,0.6,0.0,-25.400000000000006,-61.230000000000004,,0.042105263157894646,-6.31,4.67,0.6,1,Alexa Grasso,Michel Batista,Orthodox,Orthodox
