fighter1_wins,fighter1_losses,fighter1_height,fighter1_weight,fighter1_reach,fighter1_stance,fighter1_age,fighter1_SLpM,fighter1_sig_str_acc,fighter1_SApM,fighter1_str_def,fighter1_td_avg,fighter1_td_acc,fighter1_td_def,fighter1_sub_avg,fighter2_wins,fighter2_losses,fighter2_height,fighter2_weight,fighter2_reach,fighter2_stance,fighter2_age,fighter2_SLpM,fighter2_sig_str_acc,fighter2_SApM,fighter2_str_def,fighter2_td_avg,fighter2_td_acc,fighter2_td_def,fighter2_sub_avg,height_diff,weight_diff,reach_diff,win_rate_diff,td_avg_diff,SLpM_diff,sub_avg_diff,fighter1_won
17.0,6.0,182.88,83.91,190.5,Orthodox,33.0,2.13,0.24,4.47,0.6,0.0,0.0,1.0,0.0,17.0,14.0,167.64,65.77,172.72,Orthodox,48.0,2.01,0.39,3.06,0.64,1.19,0.36,0.49,1.5,15.240000000000009,18.14,17.78,0.17708333333333337,-1.19,0.1200000000000001,-1.5,1
5.0,4.0,177.8,65.77,,Orthodox,31.0,2.37,0.3,4.17,0.48,0.0,0.0,0.46,0.0,29.0,20.0,185.42,77.11,,Orthodox,51.0,0.34,0.26,3.65,0.44,0.0,0.0,0.42,0.0,-7.619999999999976,-11.340000000000003,,-0.07999999999999996,0.0,2.0300000000000002,0.0,0
11.0,5.0,175.26,77.11,,Orthodox,38.0,0.81,0.33,3.23,0.38,9.09,0.75,0.0,0.0,5.0,2.0,182.88,83.91,190.5,Switch,29.0,3.04,0.53,6.13,0.47,3.04,0.71,0.81,1.2,-7.6200000000000045,-6.799999999999997,,0.022058823529411797,6.05,-2.23,-1.2,0
18.0,6.0,162.56,61.23,167.64,Southpaw,47.0,2.09,0.45,2.01,0.57,0.41,0.22,0.45,0.0,35.0,8.0,190.5,113.4,198.12,Orthodox,46.0,3.2,0.5,2.11,0.57,1.26,0.55,0.55,1.4,-27.939999999999998,-52.17000000000001,-30.480000000000018,-0.07545454545454544,-0.8500000000000001,-1.1100000000000003,-1.4,0
38.0,19.0,172.72,77.11,,Orthodox,50.0,1.33,0.3,3.14,0.53,0.54,0.25,0.5,0.0,17.0,4.0,180.34,77.11,182.88,Orthodox,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,-7.6200000000000045,0.0,,-0.11755485893416928,-0.71,-1.4499999999999997,0.0,1
1.0,1.0,175.26,86.18,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,180.34,77.11,182.88,Orthodox,30.0,4.49,0.51,4.56,0.51,2.0,0.3,1.0,0.0,-5.0800000000000125,9.070000000000007,,-0.22222222222222227,-2.0,-4.49,0.0,0
14.0,9.0,182.88,77.11,,Orthodox,,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,0.0,1.0,180.34,90.26,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539999999999992,-13.150000000000006,,0.5833333333333334,0.0,0.79,0.0,1
29.0,13.0,172.72,65.77,177.8,Orthodox,40.0,4.7,0.5,3.84,0.59,1.09,0.52,0.61,0.4,11.0,2.0,182.88,77.11,180.34,Orthodox,28.0,3.58,0.52,1.96,0.58,1.81,0.34,0.41,0.6,-10.159999999999997,-11.340000000000003,-2.539999999999992,-0.11129568106312293,-0.72,1.12,-0.19999999999999996,0
10.0,6.0,175.26,61.23,180.34,Switch,36.0,1.99,0.4,8.09,0.51,0.0,0.0,0.0,0.0,12.0,6.0,167.64,56.7,172.72,Orthodox,33.0,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2,7.6200000000000045,4.529999999999994,7.6200000000000045,-0.04334365325077394,-2.83,-0.5799999999999998,-0.2,1
12.0,11.0,175.26,61.23,187.96,Orthodox,36.0,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6,12.0,4.0,190.5,83.91,190.5,Orthodox,46.0,3.59,0.3,3.13,0.57,0.41,1.0,0.5,3.3,-15.240000000000009,-22.68,-2.539999999999992,-0.20588235294117652,0.6200000000000001,-1.94,-0.6999999999999997,0
12.0,0.0,172.72,61.23,180.34,Orthodox,26.0,4.47,0.58,2.44,0.57,3.96,0.41,0.83,0.6,7.0,3.0,175.26,70.31,177.8,Southpaw,28.0,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0,-2.539999999999992,-9.080000000000005,2.539999999999992,0.2867132867132868,3.46,-2.3,0.6,0
11.0,6.0,172.72,83.91,193.04,Orthodox,36.0,3.07,0.45,3.93,0.52,2.14,0.45,0.77,0.0,19.0,4.0,167.64,61.23,185.42,Southpaw,31.0,3.91,0.46,2.37,0.61,0.37,0.4,0.77,0.4,5.0800000000000125,22.68,7.6200000000000045,-0.18055555555555547,1.77,-0.8400000000000003,-0.4,1
12.0,8.0,172.72,65.77,180.34,Orthodox,40.0,4.11,0.44,3.19,0.66,1.85,0.36,0.63,0.3,24.0,9.0,193.04,104.78,195.58,Orthodox,46.0,3.59,0.52,2.64,0.55,1.75,0.31,0.31,1.2,-20.319999999999993,-39.010000000000005,-15.240000000000009,-0.13445378151260512,0.10000000000000009,0.5200000000000005,-0.8999999999999999,0
15.0,4.0,175.26,70.31,,Orthodox,46.0,1.55,0.39,2.23,0.33,3.58,0.6,0.5,4.2,30.0,16.0,180.34,77.11,187.96,Southpaw,42.0,3.85,0.47,4.67,0.59,0.65,0.64,0.65,0.0,-5.0800000000000125,-6.799999999999997,,0.11170212765957444,2.93,-2.3,4.2,1
17.0,11.0,175.26,65.77,182.88,Switch,33.0,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3,1.0,3.0,185.42,97.52,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.159999999999997,-31.75,,0.3862068965517241,3.41,3.37,1.3,1
16.0,6.0,175.26,65.77,182.88,Orthodox,28.0,3.21,0.37,3.74,0.57,3.02,0.6,0.72,0.7,31.0,15.0,177.8,70.31,180.34,Orthodox,37.0,6.14,0.52,3.74,0.62,1.2,0.37,0.74,0.3,-2.5400000000000205,-4.540000000000006,2.539999999999992,0.03607770582793712,1.82,-2.9299999999999997,0.39999999999999997,0
2.0,16.0,185.42,81.65,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,172.72,56.7,170.18,Orthodox,35.0,2.9,0.58,2.8,0.54,0.85,0.57,0.76,0.0,12.699999999999989,24.950000000000003,,-0.46616541353383456,-0.85,-2.9,0.0,0
11.0,2.0,177.8,110.22,185.42,Orthodox,36.0,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0,8.0,6.0,170.18,52.16,172.72,Orthodox,40.0,4.51,0.37,5.4,0.58,0.77,0.45,0.66,0.3,7.6200000000000045,58.06,12.699999999999989,0.2523809523809524,-0.77,-2.11,-0.3,1
18.0,14.0,185.42,92.99,185.42,Orthodox,39.0,3.66,0.38,7.24,0.36,0.6,0.5,1.0,0.0,4.0,1.0,185.42,70.31,,Switch,52.0,0.76,0.14,4.56,0.33,0.0,0.0,0.0,0.0,0.0,22.679999999999993,,-0.12121212121212122,0.6,2.9000000000000004,0.0,0
11.0,1.0,177.8,83.91,182.88,Orthodox,31.0,5.0,0.5,4.17,0.48,1.25,0.16,0.66,0.0,6.0,3.0,198.12,114.76,,Orthodox,48.0,2.15,0.52,3.05,0.52,1.73,0.55,0.43,0.0,-20.319999999999993,-30.85000000000001,,0.24615384615384617,-0.48,2.85,0.0,0
23.0,7.0,182.88,77.11,,Orthodox,,0.0,0.0,6.45,0.35,0.0,0.0,0.5,0.0,0.0,1.0,190.5,106.59,,Southpaw,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6200000000000045,-29.480000000000004,,0.7419354838709677,0.0,0.0,0.0,1
9.0,6.0,182.88,70.31,187.96,Orthodox,33.0,1.89,0.38,3.4,0.55,0.0,0.0,0.33,1.1,31.0,9.0,182.88,77.11,182.88,Orthodox,45.0,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2,0.0,-6.799999999999997,5.0800000000000125,-0.19359756097560976,-2.83,-0.5600000000000003,-0.09999999999999987,0
13.0,6.0,170.18,61.23,175.26,Orthodox,40.0,2.08,0.37,3.17,0.58,2.38,0.22,0.5,1.2,31.0,18.0,180.34,77.11,172.72,Orthodox,49.0,3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4,-10.159999999999997,-15.880000000000003,2.539999999999992,0.030000000000000027,1.68,-1.6799999999999997,-1.2,0
15.0,3.0,180.34,92.99,,Southpaw,50.0,1.4,0.42,3.72,0.27,13.95,0.5,0.0,7.0,0.0,1.0,177.8,85.28,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.539999999999992,7.709999999999994,,0.7894736842105263,13.95,1.4,7.0,1
10.0,4.0,175.26,61.23,180.34,Orthodox,39.0,2.72,0.46,2.14,0.65,0.0,0.0,0.69,0.4,5.0,5.0,160.02,52.16,160.02,Southpaw,45.0,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,15.23999999999998,9.07,20.319999999999993,0.2121212121212121,-2.31,-0.25,-0.6,0
10.0,3.0,185.42,77.11,180.34,Southpaw,39.0,2.26,0.4,3.73,0.37,3.23,0.37,0.14,0.0,14.0,9.0,182.88,77.11,,Orthodox,,0.79,0.33,3.14,0.42,0.0,0.0,0.0,0.0,2.539999999999992,0.0,,0.13095238095238093,3.23,1.4699999999999998,0.0,1
9.0,1.0,180.34,65.77,177.8,Switch,27.0,8.3,0.58,9.47,0.59,3.0,0.5,1.0,0.5,14.0,5.0,177.8,65.77,182.88,Switch,27.0,2.88,0.49,1.73,0.65,2.28,0.34,0.6,1.3,2.539999999999992,0.0,-5.079999999999984,0.11818181818181828,0.7200000000000002,5.420000000000001,-0.8,1
12.0,5.0,160.02,56.7,167.64,Orthodox,30.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7,18.0,5.0,172.72,65.77,177.8,Orthodox,33.0,2.02,0.59,1.54,0.49,3.73,0.42,0.5,1.9,-12.699999999999989,-9.069999999999993,-10.160000000000025,-0.08333333333333337,-1.6600000000000001,2.61,-1.2,0
5.0,4.0,162.56,65.77,162.56,Southpaw,42.0,2.66,0.41,1.91,0.61,1.09,0.5,0.62,0.3,0.0,1.0,182.88,83.91,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.319999999999993,-18.14,,0.5,1.09,2.66,0.3,1
8.0,9.0,170.18,56.7,175.26,Orthodox,38.0,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,15.0,9.0,195.58,117.93,193.04,Orthodox,43.0,3.91,0.65,3.02,0.45,2.62,0.42,0.78,0.0,-25.400000000000006,-61.230000000000004,-17.78,-0.15555555555555556,4.88,1.0899999999999999,0.0,0
8.0,3.0,193.04,105.23,,Orthodox,45.0,2.92,0.46,1.51,0.68,0.53,0.07,0.37,1.6,22.0,8.0,182.88,70.31,177.8,Southpaw,34.0,3.94,0.43,4.1,0.51,0.55,0.13,0.68,0.4,10.159999999999997,34.92,,-0.043010752688172116,-0.020000000000000018,-1.02,1.2000000000000002,0
6.0,6.0,180.34,77.11,185.42,Orthodox,47.0,2.24,0.48,3.39,0.41,1.18,0.33,0.26,0.4,20.0,14.0,190.5,77.11,190.5,Orthodox,42.0,3.08,0.31,3.14,0.51,0.89,0.16,0.48,0.8,-10.159999999999997,0.0,-5.0800000000000125,-0.10989010989010983,0.2899999999999999,-0.8399999999999999,-0.4,0
13.0,6.0,180.34,77.11,,Orthodox,41.0,3.92,0.5,4.8,0.41,0.0,0.0,1.0,0.0,9.0,5.0,165.1,56.7,165.1,Orthodox,38.0,3.81,0.32,5.72,0.59,4.21,0.58,0.75,0.0,15.240000000000009,20.409999999999997,,0.050000000000000044,-4.21,0.10999999999999988,0.0,1
8.0,4.0,182.88,77.11,187.96,Orthodox,34.0,3.42,0.37,3.95,0.51,2.37,0.33,1.0,1.6,13.0,6.0,175.26,70.31,182.88,Orthodox,46.0,2.56,0.33,3.61,0.58,0.44,0.11,0.2,0.9,7.6200000000000045,6.799999999999997,5.0800000000000125,-0.0346153846153846,1.9300000000000002,0.8599999999999999,0.7000000000000001,0
14.0,2.0,165.1,56.7,165.1,Orthodox,35.0,3.6,0.51,1.83,0.52,2.85,0.4,0.75,0.0,7.0,5.0,187.96,105.69,,Orthodox,59.0,1.83,0.35,3.02,0.56,0.87,1.0,0.8,0.0,-22.860000000000014,-48.989999999999995,,0.2850678733031674,1.98,1.77,0.0,1
18.0,10.0,170.18,70.31,170.18,Orthodox,42.0,3.36,0.4,3.5,0.54,1.36,0.5,0.58,0.1,11.0,4.0,175.26,65.77,,Orthodox,34.0,4.91,0.23,7.17,0.51,0.0,0.0,0.0,0.0,-5.079999999999984,4.540000000000006,,-0.06681034482758619,1.36,-1.5500000000000003,0.1,1
12.0,5.0,167.64,56.7,172.72,Orthodox,32.0,5.24,0.57,4.62,0.52,0.0,0.0,0.6,0.2,15.0,10.0,190.5,92.99,190.5,Orthodox,51.0,2.27,0.43,3.77,0.53,2.03,0.22,0.33,1.1,-22.860000000000014,-36.28999999999999,-17.78,0.08974358974358976,-2.03,2.97,-0.9000000000000001,1
11.0,7.0,167.64,77.11,172.72,Orthodox,49.0,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9,15.0,6.0,172.72,61.23,175.26,Southpaw,42.0,3.21,0.4,2.79,0.56,0.9,0.3,0.78,0.1,-5.0800000000000125,15.880000000000003,-2.539999999999992,-0.10287081339712911,1.15,-1.23,0.8,0
12.0,1.0,193.04,120.2,198.12,Orthodox,34.0,2.63,0.44,4.73,0.42,0.53,0.14,1.0,0.5,15.0,6.0,182.88,77.11,187.96,Orthodox,49.0,2.75,0.65,0.79,0.66,1.87,0.37,0.54,1.2,10.159999999999997,43.09,10.159999999999997,0.17532467532467533,-1.34,-0.1200000000000001,-0.7,1
21.0,9.0,165.1,61.23,177.8,Orthodox,38.0,2.7,0.25,5.37,0.49,0.98,0.14,0.66,0.7,25.0,9.0,177.8,83.91,185.42,Orthodox,43.0,1.86,0.48,4.79,0.38,2.08,0.46,0.25,2.4,-12.700000000000017,-22.68,-7.619999999999976,-0.03686635944700467,-1.1,0.8400000000000001,-1.7,1
15.0,6.0,170.18,65.77,175.26,Orthodox,31.0,4.67,0.53,3.95,0.52,3.22,0.38,1.0,0.6,26.0,9.0,175.26,70.31,,Orthodox,47.0,1.85,0.37,2.6,0.59,1.38,0.52,0.76,1.2,-5.079999999999984,-4.540000000000006,,-0.04040404040404044,1.8400000000000003,2.82,-0.6,0
21.0,4.0,187.96,117.03,193.04,Orthodox,48.0,1.35,0.31,3.17,0.47,1.19,0.18,0.0,0.6,13.0,3.0,175.26,65.77,180.34,Orthodox,30.0,5.72,0.49,4.33,0.54,0.28,0.2,0.62,0.4,12.700000000000017,51.260000000000005,12.699999999999989,0.042986425339366585,0.9099999999999999,-4.369999999999999,0.19999999999999996,1
10.0,0.0,167.64,52.16,167.64,Orthodox,30.0,5.61,0.67,0.45,0.8,5.34,1.0,0.0,1.3,24.0,17.0,167.64,70.31,180.34,Orthodox,49.0,1.78,0.39,2.85,0.55,1.53,0.36,0.37,2.4,0.0,-18.150000000000006,-12.700000000000017,0.33766233766233766,3.8099999999999996,3.83,-1.0999999999999999,1
6.0,3.0,182.88,77.11,,Orthodox,37.0,1.69,0.29,2.87,0.65,0.0,0.0,0.58,0.0,9.0,4.0,187.96,83.91,182.88,Orthodox,33.0,4.86,0.44,4.99,0.51,0.0,0.0,0.53,2.6,-5.0800000000000125,-6.799999999999997,,-0.04285714285714293,0.0,-3.1700000000000004,-2.6,1
15.0,4.0,190.5,92.99,193.04,Orthodox,39.0,1.31,0.31,1.92,0.69,6.39,0.54,0.25,0.2,1.0,1.0,182.88,95.25,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6200000000000045,-2.260000000000005,,0.4166666666666667,6.39,1.31,0.2,1
1.0,0.0,182.88,97.52,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,180.34,70.31,177.8,Southpaw,38.0,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,2.539999999999992,27.209999999999994,,-0.20588235294117652,-0.71,-1.81,-0.7,0
11.0,2.0,187.96,83.91,,Orthodox,43.0,1.81,0.4,4.11,0.59,0.0,0.0,0.0,2.1,18.0,6.0,177.8,65.77,177.8,Orthodox,35.0,7.36,0.56,5.57,0.43,1.24,0.23,0.61,1.1,10.159999999999997,18.14,,0.06571428571428573,-1.24,-5.550000000000001,1.0,0
15.0,9.0,180.34,83.91,,Orthodox,49.0,0.21,0.2,0.85,0.5,0.0,0.0,0.0,0.0,16.0,13.0,165.1,61.23,,Orthodox,43.0,2.9,0.36,3.18,0.46,1.14,0.23,0.78,0.0,15.240000000000009,22.68,,0.06666666666666665,-1.14,-2.69,0.0,0
20.0,17.0,180.34,92.99,,Orthodox,54.0,0.93,0.7,4.67,0.28,0.0,0.0,0.4,2.0,27.0,12.0,190.5,117.93,200.66,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,-10.159999999999997,-24.940000000000012,,-0.14868421052631586,-0.53,-1.5,2.0,0
14.0,10.0,180.34,61.23,190.5,Orthodox,39.0,2.1,0.29,3.79,0.43,0.0,0.0,0.61,1.4,13.0,5.0,180.34,83.91,185.42,Orthodox,44.0,2.19,0.35,2.73,0.54,0.4,0.42,0.65,0.3,0.0,-22.68,5.0800000000000125,-0.12421052631578944,-0.4,-0.08999999999999986,1.0999999999999999,1
13.0,3.0,172.72,70.31,180.34,Orthodox,33.0,2.06,0.35,3.88,0.57,1.01,0.25,0.66,0.0,0.0,1.0,167.64,108.86,,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0800000000000125,-38.55,,0.7647058823529411,1.01,2.06,0.0,0
20.0,4.0,193.04,108.86,203.2,Orthodox,41.0,4.82,0.53,3.82,0.54,1.86,0.34,0.68,0.0,22.0,9.0,182.88,83.91,187.96,Southpaw,53.0,2.62,0.5,1.56,0.52,3.01,0.48,0.6,1.3,10.159999999999997,24.950000000000003,15.23999999999998,0.11250000000000004,-1.1499999999999997,2.2,-1.3,1
31.0,18.0,180.34,70.31,182.88,Switch,42.0,2.03,0.47,4.07,0.35,0.43,0.09,0.57,1.7,28.0,16.0,193.04,113.4,198.12,Orthodox,46.0,2.37,0.5,1.77,0.54,1.22,0.5,0.32,0.7,-12.699999999999989,-43.09,-15.240000000000009,-0.0022222222222222365,-0.79,-0.3400000000000003,1.0,1
19.0,4.0,167.64,65.77,177.8,Orthodox,39.0,4.04,0.36,4.61,0.61,0.91,0.37,0.46,0.1,36.0,16.0,180.34,77.11,182.88,Orthodox,41.0,3.29,0.46,3.63,0.58,1.09,0.34,0.46,1.3,-12.700000000000017,-11.340000000000003,-5.079999999999984,0.11242138364779874,-0.18000000000000005,0.75,-1.2,0
11.0,5.0,177.8,70.31,182.88,Orthodox,38.0,3.39,0.36,3.93,0.59,0.0,0.0,0.7,1.8,25.0,22.0,187.96,83.91,,Orthodox,47.0,1.09,0.43,1.2,0.57,0.43,1.0,0.66,0.0,-10.159999999999997,-13.599999999999994,,0.12622549019607843,-0.43,2.3,1.8,1
7.0,1.0,177.8,77.11,,Orthodox,46.0,1.8,0.35,2.83,0.5,2.5,0.62,0.83,0.0,19.0,11.0,187.96,92.99,,Southpaw,,1.77,0.42,1.45,0.52,0.35,0.66,0.66,0.7,-10.159999999999997,-15.879999999999995,,0.16487455197132617,2.15,0.030000000000000027,-0.7,1
13.0,1.0,170.18,70.31,177.8,Orthodox,31.0,3.93,0.52,1.8,0.61,0.0,0.0,0.57,1.0,20.0,3.0,167.64,61.23,,Orthodox,54.0,0.51,0.4,4.07,0.43,1.91,0.12,0.5,0.0,2.5400000000000205,9.080000000000005,,0.033333333333333326,-1.91,3.42,1.0,0
18.0,3.0,172.72,61.23,177.8,Orthodox,31.0,3.55,0.47,2.13,0.57,1.01,0.16,0.66,1.4,6.0,5.0,180.34,77.11,182.88,Orthodox,37.0,2.04,0.57,3.02,0.43,0.0,0.0,0.5,0.0,-7.6200000000000045,-15.880000000000003,-5.079999999999984,0.31818181818181823,1.01,1.5099999999999998,1.4,1
15.0,3.0,167.64,61.23,162.56,Orthodox,32.0,4.71,0.49,4.98,0.48,1.5,0.27,0.52,0.0,2.0,0.0,175.26,102.51,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6200000000000045,-41.28000000000001,,0.1228070175438597,1.5,4.71,0.0,1
14.0,7.0,190.5,70.31,195.58,Southpaw,28.0,6.02,0.48,4.63,0.41,0.88,0.55,0.75,1.2,12.0,5.0,195.58,92.99,210.82,Southpaw,31.0,5.13,0.45,4.9,0.5,0.6,0.45,0.8,0.2,-5.0800000000000125,-22.679999999999993,-15.23999999999998,-0.030303030303030276,0.28,0.8899999999999997,1.0,0
8.0,6.0,165.1,52.16,162.56,Orthodox,31.0,4.03,0.45,4.51,0.56,0.96,0.3,0.57,0.0,13.0,7.0,170.18,56.7,175.26,Orthodox,34.0,5.25,0.54,8.72,0.41,3.15,0.33,0.0,0.0,-5.0800000000000125,-4.540000000000006,-12.699999999999989,-0.08571428571428574,-2.19,-1.2199999999999998,0.0,0
27.0,12.0,190.5,117.93,200.66,Orthodox,39.0,2.43,0.5,2.48,0.4,0.53,0.26,0.53,0.0,0.0,1.0,177.8,85.28,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.699999999999989,32.650000000000006,,0.675,0.53,2.43,0.0,1
5.0,2.0,175.26,83.91,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,182.88,83.91,187.96,Orthodox,34.0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,-7.6200000000000045,0.0,,0.005952380952380931,-1.46,-3.32,0.0,0
8.0,3.0,193.04,105.23,,Orthodox,45.0,2.92,0.46,1.51,0.68,0.53,0.07,0.37,1.6,12.0,3.0,172.72,70.31,180.34,Switch,31.0,4.9,0.51,4.97,0.49,0.29,0.4,0.89,0.0,20.319999999999993,34.92,,-0.08333333333333337,0.24000000000000005,-1.9800000000000004,1.6,1
20.0,6.0,175.26,70.31,182.88,Orthodox,38.0,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,5.0,1.0,185.42,70.31,180.34,Orthodox,29.0,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5,-10.159999999999997,0.0,2.539999999999992,0.026455026455026398,-1.24,0.6900000000000002,-1.1,0
15.0,9.0,182.88,70.31,180.34,Switch,32.0,2.93,0.41,8.05,0.33,0.0,0.0,0.27,0.0,8.0,3.0,185.42,77.11,193.04,Southpaw,38.0,3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5,-2.539999999999992,-6.799999999999997,-12.699999999999989,-0.06666666666666665,-3.51,-0.07999999999999963,-0.5,0
12.0,14.0,187.96,100.24,,Orthodox,62.0,0.41,0.46,0.47,0.6,0.89,0.5,0.2,0.9,24.0,7.0,175.26,77.11,177.8,Southpaw,40.0,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,12.700000000000017,23.129999999999995,,-0.3055555555555556,-1.5099999999999998,-2.52,0.09999999999999998,0
14.0,6.0,190.5,119.75,187.96,Orthodox,33.0,3.98,0.51,6.08,0.52,1.54,0.37,1.0,0.0,17.0,6.0,182.88,77.11,180.34,Orthodox,42.0,1.98,0.21,10.27,0.45,0.0,0.0,0.0,0.0,7.6200000000000045,42.64,7.6200000000000045,-0.04166666666666674,1.54,2.0,0.0,1
9.0,3.0,170.18,61.23,172.72,Orthodox,35.0,2.59,0.43,2.86,0.5,0.54,0.33,0.5,0.3,13.0,7.0,165.1,52.16,170.18,Orthodox,31.0,2.99,0.4,2.65,0.53,0.82,0.33,0.38,1.9,5.0800000000000125,9.07,2.539999999999992,0.07326007326007322,-0.2799999999999999,-0.40000000000000036,-1.5999999999999999,1
19.0,7.0,182.88,83.91,187.96,Southpaw,29.0,5.06,0.5,4.26,0.61,0.75,0.44,0.48,0.0,8.0,4.0,160.02,56.7,160.02,Orthodox,39.0,2.34,0.37,6.42,0.48,0.57,0.4,0.31,1.1,22.859999999999985,27.209999999999994,27.939999999999998,0.0883190883190883,0.18000000000000005,2.7199999999999998,-1.1,0
13.0,7.0,167.64,61.23,182.88,Orthodox,31.0,2.36,0.33,2.99,0.54,0.25,0.2,0.56,1.0,13.0,0.0,187.96,83.91,190.5,Orthodox,29.0,5.72,0.58,3.46,0.42,3.99,0.46,1.0,2.7,-20.32000000000002,-22.68,-7.6200000000000045,-0.30952380952380953,-3.74,-3.36,-1.7000000000000002,0
9.0,3.0,190.5,83.91,180.34,Orthodox,33.0,5.69,0.52,2.9,0.56,0.22,0.33,0.31,0.0,21.0,12.0,172.72,70.31,177.8,Orthodox,44.0,3.39,0.48,3.44,0.57,1.2,0.37,0.46,0.6,17.78,13.599999999999994,2.539999999999992,0.07466063348416285,-0.98,2.3000000000000003,-0.6,1
11.0,8.0,165.1,61.23,165.1,Orthodox,36.0,3.48,0.3,6.13,0.59,0.0,0.0,0.71,0.0,19.0,3.0,172.72,65.77,177.8,Southpaw,30.0,3.39,0.4,2.91,0.61,1.02,0.5,0.75,0.4,-7.6200000000000045,-4.539999999999999,-12.700000000000017,-0.2760869565217391,-1.02,0.08999999999999986,-0.4,0
13.0,11.0,187.96,83.91,203.2,Orthodox,35.0,2.65,0.47,3.62,0.5,1.26,0.4,0.67,0.1,15.0,9.0,167.64,56.7,175.26,Orthodox,34.0,4.22,0.52,2.94,0.57,0.75,0.28,0.7,0.2,20.32000000000002,27.209999999999994,27.939999999999998,-0.07999999999999996,0.51,-1.5699999999999998,-0.1,0
11.0,2.0,177.8,110.22,185.42,Orthodox,36.0,2.4,0.31,3.47,0.42,0.0,0.0,0.25,0.0,9.0,3.0,170.18,56.7,172.72,Orthodox,43.0,2.4,0.43,2.64,0.48,1.04,0.18,0.53,0.3,7.6200000000000045,53.519999999999996,12.699999999999989,0.09340659340659341,-1.04,0.0,-0.3,0
16.0,6.0,167.64,56.7,167.64,Orthodox,35.0,3.8,0.53,5.32,0.55,4.07,0.31,0.91,1.6,7.0,6.0,195.58,92.99,,0,37.0,7.73,0.45,6.82,0.49,0.0,0.0,0.5,0.0,-27.940000000000026,-36.28999999999999,,0.19565217391304346,4.07,-3.9300000000000006,1.6,1
6.0,3.0,198.12,114.76,,Orthodox,48.0,2.15,0.52,3.05,0.52,1.73,0.55,0.43,0.0,6.0,2.0,175.26,92.99,,Southpaw,50.0,0.9,0.47,0.4,0.42,3.0,0.5,0.0,4.5,22.860000000000014,21.77000000000001,,-0.06666666666666665,-1.27,1.25,-4.5,0
25.0,12.0,154.94,52.16,157.48,Orthodox,32.0,6.67,0.5,5.36,0.54,2.45,0.54,0.72,0.4,20.0,11.0,185.42,109.32,,Orthodox,49.0,1.93,0.34,3.02,0.5,0.26,0.28,0.78,0.0,-30.47999999999999,-57.16,,0.03289473684210531,2.1900000000000004,4.74,0.4,1
20.0,6.0,175.26,61.23,170.18,Orthodox,32.0,4.8,0.58,2.79,0.63,0.28,0.3,0.69,0.1,13.0,7.0,167.64,56.7,167.64,Orthodox,40.0,2.78,0.54,2.51,0.61,2.57,0.51,0.65,0.3,7.6200000000000045,4.529999999999994,2.5400000000000205,0.12169312169312163,-2.29,2.02,-0.19999999999999998,1
